Penulis,Komentar,Komentar_Bersih
@TioIsi-i3x,Yakin ngga tuh meteor apa itu rudal balistik nya israel nyasar sampe ke situ,yakin ngga tuh meteor apa itu rudal balistik nya israel nyasar sampe ke situ
@jimmyhidayat-o7p,Rudal Rusia nyasar🤣🤣🤣,rudal rusia nyasar
@dimasrinto742,Kaya rudal balistik nya iran,kaya rudal balistik nya iran
@ronpnsallelektronik5392,Jatuh kek kerumah koruptor.😅,jatuh kek kerumah koruptor
@ronpnsallelektronik5392,KOK METEOR JATUH BMKG NGGAK MAU TAU...?,kok meteor jatuh bmkg nggak mau tau
@BagusBagus-rn7iv,"Muda mudahan jatuh nya di gedung yg Banyak Tikus nya
Biar tikus garong pada mampus Limbung nya kena Meteor",muda mudahan jatuh nya di gedung yg banyak tikus nya biar tikus garong pada mampus limbung nya kena meteor
@ojekonline8105,"Coba saya lihat langsung pasti deh saya akan minta bnyk permintaan katanya sih pasti dikabulkan,",coba saya lihat langsung pasti deh saya akan minta bnyk permintaan katanya sih pasti dikabulkan
@storigaming753,Apa TDK terdeteksi oleh satelit bang,apa tdk terdeteksi oleh satelit bang
@benawefishingclub,"Cari tu,ambil batunya.jual mahal😂😂😅😅😅",cari tuambil batunyajual mahal
@changhua77,"mau ngaku rudal malu macan asia, gk ada skill rudal bisa lolos masuk.
kapal rohingnya aja lolos

ya udh bilang aja metoer, biar rakyat gk panik.
Meteor kok medelak kyak bom sih, moteor kan cuma batu.
sejak kapan meteor bisa meliuk liuk di udara dan meledak berkali kali.",mau ngaku rudal malu macan asia gk ada skill rudal bisa lolos masuk kapal rohingnya aja lolos ya udh bilang aja metoer biar rakyat gk panik meteor kok medelak kyak bom sih moteor kan cuma batu sejak kapan meteor bisa meliuk liuk di udara dan meledak berkali kali
@odayaab5044,wah suparman turun ke bumi😂,wah suparman turun ke bumi
@aleejordan,Pertanda Sunda empire bangkit?,pertanda sunda empire bangkit
@trigraha2830,UFO UFO,ufo ufo
@TarkimMansyur,"Semoga BRIN , mendokumentasikan , setiap benda langit atao meteor yang jatuh di wilayah NKRI .
Dan juga semoga Kemenhan mampu menjaga atao melindungi aset aset objek vital di seluruh wilayah NKRI",semoga brin mendokumentasikan setiap benda langit atao meteor yang jatuh di wilayah nkri dan juga semoga kemenhan mampu menjaga atao melindungi aset aset objek vital di seluruh wilayah nkri
@sutyati-uk5sd,Sejak kapan cctv arah ke langit,sejak kapan cctv arah ke langit
@TeguhPribadi-y2t,Itu kira2 bener2 meteor apa bukan? Atau jangan2 rudal uji coba?.,itu kira2 bener2 meteor apa bukan atau jangan2 rudal uji coba
@fahrezaananta4816,"Kimi no namae wa ?
UDIN !!!",kimi no namae wa udin
@rmpalgunadi7657,"INI PERTANDA BURUK , PADA ZAMAN BIZANTHYIUM BILA ADA HAL SEPERTI INI AKAN TERJADI HURU HARA BESAR ATAU PEPERANGAN",ini pertanda buruk pada zaman bizanthyium bila ada hal seperti ini akan terjadi huru hara besar atau peperangan
@SubagyaDiningrat,Terus sampai saat ini bagaimana perkembangan baru meteoritnya,terus sampai saat ini bagaimana perkembangan baru meteoritnya
@iduyhaw2804,Tenang.. ini masih uji coba.. dipastikan meteor jatuh selanjutnya tepat sasaran menuju gedung DPR... 🤣🤣,tenang ini masih uji coba dipastikan meteor jatuh selanjutnya tepat sasaran menuju gedung dpr
@putrawijaya7213,"Untung jatuh di laut, kalau jatuh di rumah ngeri juga tuh , kayak kena ulti Novaria😂",untung jatuh di laut kalau jatuh di rumah ngeri juga tuh kayak kena ulti novaria
@LilikSubarchah,kenapa gak kasih info akan adanya meteor jatuh ??? kesannya lambat 🙏🙏🙏,kenapa gak kasih info akan adanya meteor jatuh kesannya lambat
@BangsatBanget-m7r,Gw selalu berdoa semoga jatoh meteor nya pas di gedung DPR .. ternyata jatoh nya di Cirebon ..,gw selalu berdoa semoga jatoh meteor nya pas di gedung dpr ternyata jatoh nya di cirebon
@kadal12378,Suara dentuman terdengar pas meteor masih di atas  atau dibawah nyentuh tanah,suara dentuman terdengar pas meteor masih di atas atau dibawah nyentuh tanah
@ryasryatun2552,Hari Minggu...q juga lihat...tauy banas Pati santet...tp untungy meteor beneran. Masalhy kaya buletan api,hari mingguq juga lihattauy banas pati santettp untungy meteor beneran masalhy kaya buletan api
@Abangkorep5875,"Harus jatuh di para koruptor kumpul
😂😂😂",harus jatuh di para koruptor kumpul
@PhotoStoryChannel,Sebentar lagi ada invasi alien masuk rumah warga,sebentar lagi ada invasi alien masuk rumah warga
@MadeBrandy,"KOK DIPERKIRAKAN..???
APA GAK ADA AHLI YG BETUL2 AHLI KAH...???
DINEGERI INI BANYAK AHLI
NGOMONG DAN AHLI ABAL2",kok diperkirakan apa gak ada ahli yg betul2 ahli kah dinegeri ini banyak ahli ngomong dan ahli abal2
@MujiantoOppoa3s,Api neraka .yang di bawa burung ababil itu nyata,api neraka yang di bawa burung ababil itu nyata
@masboy2931,Rudal jelajah,rudal jelajah
@SaifulSaiful-f5c,"Aku pernah liat kaya gitu pas diladang cari air buat padi, tapi ngga ada dentumanya😊",aku pernah liat kaya gitu pas diladang cari air buat padi tapi ngga ada dentumanya
@radenujang3294,"Negara yang memiliki pemimpin yg tidak ada jiwa kepemimpinan.
Kenapa ketua BRIN, diam adem ayem, tidak ada pres release, menjelaskan secara resmi seperti halnya NASA? Makan gaji buta !! Yg menjelaskan malah karyawannya secara pribadi.",negara yang memiliki pemimpin yg tidak ada jiwa kepemimpinan kenapa ketua brin diam adem ayem tidak ada pres release menjelaskan secara resmi seperti halnya nasa makan gaji buta yg menjelaskan malah karyawannya secara pribadi
@RagamulyaPutra,Rudal itu,rudal itu
@dianyan4591,Beneran bukan hoak klau gk prcaya msih ada bekasnya cma batunya di ambil orang,beneran bukan hoak klau gk prcaya msih ada bekasnya cma batunya di ambil orang
@dianyan4591,Itu yng bener jatuh nya di dekat makam jatilaba margasari,itu yng bener jatuh nya di dekat makam jatilaba margasari
@KhoirulUmam-u7d,Itu braja mustikanya orang yang mau kirim santet..😅,itu braja mustikanya orang yang mau kirim santet
@TaufikPpi,Cari jual,cari jual
@edhistyartDSGN,Pemburu cincin batu akik....,pemburu cincin batu akik
@alfaqirila_rahmati_rabbih1280,Itu bom Israel yang meleset...,itu bom israel yang meleset
@augustaverbian,Mada kono Sekai wa,mada kono sekai wa
@alyaditakusuma43,Mada kono sekai wa.....,mada kono sekai wa
@jokokendil1576,Rudal israhell,rudal israhell
@DinaRahma-wd9ur,Terdengar sampe tegal,terdengar sampe tegal
@Vivan-lo5yj,Masih Serpihan Rudal Israel Uda panik seindonesia😂😂😂😂,masih serpihan rudal israel uda panik seindonesia
@LAELASARI-d9j1q,Megatron,megatron
@ImamimamImam-n4t,Ko tau itu meteor emng udah di temukan benda itu'' 😂😂. Brang jatuh dri langit udh bilng meteor pdahal  belum tentu juga  lah itu meteor. Kecuali udah di temukan benda itu nampk jelas meteor AP bukan. Jgan2 rudal nyasar,ko tau itu meteor emng udah di temukan benda itu brang jatuh dri langit udh bilng meteor pdahal belum tentu juga lah itu meteor kecuali udah di temukan benda itu nampk jelas meteor ap bukan jgan2 rudal nyasar
@cipic5630,Tanda2 akhir jaman kata org2,tanda2 akhir jaman kata org2
@golotine,"jangan2 rudal balistik hanya utk menguji pertahanan udara kita, target dan sasarannya ditempat yg kosong😂",jangan2 rudal balistik hanya utk menguji pertahanan udara kita target dan sasarannya ditempat yg kosong
@ahmadwiji480,Icbm china,icbm china
@FachriMaulidin-t1k,Suaranya sampai di desa saya Kertaharja Jawa Tengah,suaranya sampai di desa saya kertaharja jawa tengah
@dianrahmawati95,Rudal Israel nyasar 😮,rudal israel nyasar
@anaspatasya3981,Mungkin itu alien yg ingin menginvansi bumi..😅,mungkin itu alien yg ingin menginvansi bumi
